client,correct,entropy,uncertainty
Hospital_A (Brain-Tumor MRI),1,0.5932304,0.152094
Hospital_A (Brain-Tumor MRI),0,0.6362306,0.18065369
Hospital_A (Brain-Tumor MRI),0,0.56621987,0.14319897
Hospital_A (Brain-Tumor MRI),1,0.6386782,0.18449783
Hospital_A (Brain-Tumor MRI),0,1.2156286,0.53944445
Hospital_A (Brain-Tumor MRI),1,0.48471937,0.11595625
Hospital_A (Brain-Tumor MRI),1,0.68298733,0.19286424
Hospital_A (Brain-Tumor MRI),1,1.059718,0.44722646
Hospital_A (Brain-Tumor MRI),0,0.32925916,0.06995928
Hospital_A (Brain-Tumor MRI),1,0.3843123,0.08554685
Hospital_A (Brain-Tumor MRI),1,0.4826481,0.1167773
Hospital_A (Brain-Tumor MRI),0,1.2521831,0.5564237
Hospital_A (Brain-Tumor MRI),1,0.55551577,0.13980538
Hospital_A (Brain-Tumor MRI),1,0.42334074,0.09653294
Hospital_A (Brain-Tumor MRI),1,0.4594474,0.10768521
Hospital_A (Brain-Tumor MRI),1,0.47575343,0.11268461
Hospital_A (Brain-Tumor MRI),1,0.92425686,0.2959879
Hospital_A (Brain-Tumor MRI),1,0.48300835,0.115749
Hospital_A (Brain-Tumor MRI),0,0.8429716,0.30944735
Hospital_A (Brain-Tumor MRI),0,0.49659503,0.12065405
Hospital_A (Brain-Tumor MRI),1,0.5693766,0.14484441
Hospital_A (Brain-Tumor MRI),1,0.8819763,0.3400151
Hospital_A (Brain-Tumor MRI),1,0.51807415,0.1274212
Hospital_A (Brain-Tumor MRI),1,0.7945591,0.2353527
Hospital_A (Brain-Tumor MRI),1,0.5919959,0.15458924
Hospital_A (Brain-Tumor MRI),1,0.39835045,0.089203894
Hospital_A (Brain-Tumor MRI),0,0.43054318,0.10149479
Hospital_A (Brain-Tumor MRI),1,0.6408014,0.1747551
Hospital_A (Brain-Tumor MRI),1,0.97281826,0.33723247
Hospital_A (Brain-Tumor MRI),0,1.1518794,0.5004555
Hospital_A (Brain-Tumor MRI),1,0.5178506,0.12630868
Hospital_A (Brain-Tumor MRI),1,0.7611892,0.2187109
Hospital_A (Brain-Tumor MRI),0,0.44167602,0.102258086
Hospital_A (Brain-Tumor MRI),1,0.6433148,0.17134517
Hospital_A (Brain-Tumor MRI),0,0.6530051,0.1767391
Hospital_A (Brain-Tumor MRI),1,0.8018389,0.24496132
Hospital_A (Brain-Tumor MRI),1,0.9221151,0.29160768
Hospital_A (Brain-Tumor MRI),1,0.55853295,0.14022803
Hospital_A (Brain-Tumor MRI),0,0.93529314,0.37997127
Hospital_A (Brain-Tumor MRI),1,0.9407768,0.3042826
Hospital_A (Brain-Tumor MRI),1,0.5242986,0.12844825
Hospital_A (Brain-Tumor MRI),1,0.6023761,0.15622675
Hospital_A (Brain-Tumor MRI),0,0.363258,0.08002794
Hospital_A (Brain-Tumor MRI),0,1.2518713,0.53160304
Hospital_A (Brain-Tumor MRI),1,0.46752977,0.1104247
Hospital_A (Brain-Tumor MRI),1,0.999227,0.33720696
Hospital_A (Brain-Tumor MRI),0,0.7054173,0.19987762
Hospital_A (Brain-Tumor MRI),0,1.1058462,0.46437317
Hospital_A (Brain-Tumor MRI),1,0.9933528,0.34051841
Hospital_A (Brain-Tumor MRI),1,1.0211918,0.42068303
Hospital_A (Brain-Tumor MRI),1,0.5044985,0.12217015
Hospital_A (Brain-Tumor MRI),1,0.5542976,0.1403268
